Precinct 1,"",""
Registration & Turnout ,"","3,373"
"Write In, if any ",13 ,0.79%
Total... ,"1,655 ",100.00%
WARD EIGHT MEMBER OF THE COUNCIL ,"",(Final)
DEM - MARION BARRY ,1377 ,95.10%
REP - CARDELL SHELTON ,58 ,4.01%
"Write In, if any ",13 ,0.90%
Total... ,"1,448 ",100.00%
UNITED STATES REPRESENTATIVE ,"",(Final)
DEM - RAY BROWNE ,1223 ,94.73%
SGN - ADAM EIDINGER ,60 ,4.65%
"Write In, if any ",8 ,0.62%
Total... ,"1,291 ",100.00%
Precinct 115,"",""
Registration & Turnout ,"","2,457"
Election Day Turnout ,1124 ,45.75%
Absentee Turnout ,87 ,3.54%
Total... ,"1,211 ",49.29%
ELECTORS OF PRESIDENT / VICE PRESIDENT ,"",(Final)
DEM - KERRY/EDWARDS ,1154 ,96.49%
SGN - COBB/LaMARCHE ,1 ,0.08%
LIB - BADNARIK/CAMPAGNA ,0 ,0.00%
SWP - HARRIS/TROWE ,1 ,0.08%
REP - BUSH/CHENEY ,37 ,3.09%
IND - NADER/CAMEJO ,3 ,0.25%
"Write In, if any ",0 ,0.00%
Total... ,"1,196 ",100.00%
DELEGATE TO THE U.S. HOUSE OF REPS ,"",(Final)
DEM - ELEANOR HOLMES NORTON ,1151 ,98.54%
REP - MICHAEL ANDREW MONROE ,16 ,1.37%
"Write In, if any ",1 ,0.09%
Total... ,"1,168 ",100.00%
AT-LARGE MEMBER OF THE COUNCIL ,"",(Final)
REP - CAROL SCHWARTZ ,301 ,20.48%
SGN - LAURENT ROSS ,87 ,5.92%
DEM - KWAME R. BROWN ,1021 ,69.46%
IND - A.D. ''TONY'' DOMINGUEZ ,59 ,4.01%
"Write In, if any ",2 ,0.14%
Total... ,"1,470 ",100.00%
WARD EIGHT MEMBER OF THE COUNCIL ,"",(Final)
DEM - MARION BARRY ,1139 ,96.28%
REP - CARDELL SHELTON ,41 ,3.47%
"Write In, if any ",3 ,0.25%
Total... ,"1,183 ",100.00%
UNITED STATES REPRESENTATIVE ,"",(Final)
DEM - RAY BROWNE ,1056 ,95.91%
SGN - ADAM EIDINGER ,41 ,3.72%
"Write In, if any ",4 ,0.36%
Total... ,"1,101 ",100.00%
Precinct 116,"",""
Registration & Turnout ,"","3,575"
Election Day Turnout ,1638 ,45.82%
Absentee Turnout ,138 ,3.86%
Total... ,"1,776 ",49.68%
ELECTORS OF PRESIDENT / VICE PRESIDENT ,"",(Final)
DEM - KERRY/EDWARDS ,1686 ,96.79%
SGN - COBB/LaMARCHE ,0 ,0.00%
LIB - BADNARIK/CAMPAGNA ,0 ,0.00%
SWP - HARRIS/TROWE ,1 ,0.06%
REP - BUSH/CHENEY ,51 ,2.93%
IND - NADER/CAMEJO ,4 ,0.23%
"Write In, if any ",0 ,0.00%
Total... ,"1,742 ",100.00%
DELEGATE TO THE U.S. HOUSE OF REPS ,"",(Final)
DEM - ELEANOR HOLMES NORTON ,1659 ,98.17%
REP - MICHAEL ANDREW MONROE ,29 ,1.72%
"Write In, if any ",2 ,0.12%
Total... ,"1,690 ",100.00%
AT-LARGE MEMBER OF THE COUNCIL ,"",(Final)
REP - CAROL SCHWARTZ ,335 ,17.23%
SGN - LAURENT ROSS ,86 ,4.42%
DEM - KWAME R. BROWN ,1458 ,75.00%
IND - A.D. ''TONY'' DOMINGUEZ ,59 ,3.03%
"Write In, if any ",6 ,0.31%
Total... ,"1,944 ",100.00%
WARD EIGHT MEMBER OF THE COUNCIL ,"",(Final)
DEM - MARION BARRY ,1634 ,95.78%
REP - CARDELL SHELTON ,57 ,3.34%
"Write In, if any ",15 ,0.88%
Total... ,"1,706 ",100.00%
UNITED STATES REPRESENTATIVE ,"",(Final)
DEM - RAY BROWNE ,1537 ,95.94%
SGN - ADAM EIDINGER ,62 ,3.87%
"Write In, if any ",3 ,0.19%
Total... ,"1,602 ",100.00%
Precinct 117,"",""
Registration & Turnout ,"","1,322"
Election Day Turnout ,749 ,56.66%
Absentee Turnout ,78 ,5.90%
Total... ,827 ,62.56%
ELECTORS OF PRESIDENT / VICE PRESIDENT ,"",(Final)
DEM - KERRY/EDWARDS ,772 ,97.47%
SGN - COBB/LaMARCHE ,0 ,0.00%
LIB - BADNARIK/CAMPAGNA ,1 ,0.13%
SWP - HARRIS/TROWE ,1 ,0.13%
REP - BUSH/CHENEY ,16 ,2.02%
IND - NADER/CAMEJO ,2 ,0.25%
"Write In, if any ",0 ,0.00%
Total... ,792 ,100.00%
DELEGATE TO THE U.S. HOUSE OF REPS ,"",(Final)
DEM - ELEANOR HOLMES NORTON ,762 ,97.19%
REP - MICHAEL ANDREW MONROE ,22 ,2.81%
"Write In, if any ",0 ,0.00%
Total... ,784 ,100.00%
AT-LARGE MEMBER OF THE COUNCIL ,"",(Final)
REP - CAROL SCHWARTZ ,165 ,17.95%
SGN - LAURENT ROSS ,50 ,5.44%
DEM - KWAME R. BROWN ,671 ,73.01%
IND - A.D. ''TONY'' DOMINGUEZ ,29 ,3.16%
"Write In, if any ",4 ,0.44%
Total... ,919 ,100.00%
WARD EIGHT MEMBER OF THE COUNCIL ,"",(Final)
DEM - MARION BARRY ,774 ,97.24%
REP - CARDELL SHELTON ,21 ,2.64%
"Write In, if any ",1 ,0.13%
Total... ,796 ,100.00%
UNITED STATES REPRESENTATIVE ,"",(Final)
DEM - RAY BROWNE ,707 ,95.41%
SGN - ADAM EIDINGER ,31 ,4.18%
"Write In, if any ",3 ,0.40%
Total... ,741 ,100.00%
Precinct 118,"",""
Registration & Turnout ,"","2,446"
Election Day Turnout ,1188 ,48.57%
Absentee Turnout ,97 ,3.97%
Total... ,"1,285 ",52.53%
ELECTORS OF PRESIDENT / VICE PRESIDENT ,"",(Final)
DEM - KERRY/EDWARDS ,1235 ,97.17%
SGN - COBB/LaMARCHE ,3 ,0.24%
LIB - BADNARIK/CAMPAGNA ,0 ,0.00%
SWP - HARRIS/TROWE ,0 ,0.00%
REP - BUSH/CHENEY ,27 ,2.12%
IND - NADER/CAMEJO ,4 ,0.31%
"Write In, if any ",2 ,0.16%
Total... ,"1,271 ",100.00%
DELEGATE TO THE U.S. HOUSE OF REPS ,"",(Final)
DEM - ELEANOR HOLMES NORTON ,1225 ,97.92%
REP - MICHAEL ANDREW MONROE ,22 ,1.76%
"Write In, if any ",4 ,0.32%
Total... ,"1,251 ",100.00%
AT-LARGE MEMBER OF THE COUNCIL ,"",(Final)
REP - CAROL SCHWARTZ ,291 ,19.56%
SGN - LAURENT ROSS ,64 ,4.30%
DEM - KWAME R. BROWN ,1078 ,72.45%
IND - A.D. ''TONY'' DOMINGUEZ ,51 ,3.43%
"Write In, if any ",4 ,0.27%
Total... ,"1,488 ",100.00%
WARD EIGHT MEMBER OF THE COUNCIL ,"",(Final)
DEM - MARION BARRY ,1176 ,94.23%
REP - CARDELL SHELTON ,63 ,5.05%
"Write In, if any ",9 ,0.72%
Total... ,"1,248 ",100.00%
UNITED STATES REPRESENTATIVE ,"",(Final)
DEM - RAY BROWNE ,1116 ,94.58%
SGN - ADAM EIDINGER ,62 ,5.25%
"Write In, if any ",2 ,0.17%
Total... ,"1,180 ",100.00%
Precinct 119,"",""
Registration & Turnout ,"","2,836"
Election Day Turnout ,1213 ,42.77%
Absentee Turnout ,84 ,2.96%
Total... ,"1,297 ",45.73%
ELECTORS OF PRESIDENT / VICE PRESIDENT ,"",(Final)
DEM - KERRY/EDWARDS ,1189 ,96.20%
SGN - COBB/LaMARCHE ,1 ,0.08%
LIB - BADNARIK/CAMPAGNA ,0 ,0.00%
SWP - HARRIS/TROWE ,2 ,0.16%
REP - BUSH/CHENEY ,40 ,3.24%
IND - NADER/CAMEJO ,2 ,0.16%
"Write In, if any ",2 ,0.16%
Total... ,"1,236 ",100.00%
DELEGATE TO THE U.S. HOUSE OF REPS ,"",(Final)
DEM - ELEANOR HOLMES NORTON ,1207 ,96.87%
REP - MICHAEL ANDREW MONROE ,36 ,2.89%
"Write In, if any ",3 ,0.24%
Total... ,"1,246 ",100.00%
AT-LARGE MEMBER OF THE COUNCIL ,"",(Final)
REP - CAROL SCHWARTZ ,278 ,19.89%
SGN - LAURENT ROSS ,51 ,3.65%
DEM - KWAME R. BROWN ,1027 ,73.46%
IND - A.D. ''TONY'' DOMINGUEZ ,36 ,2.58%
"Write In, if any ",6 ,0.43%
Total... ,"1,398 ",100.00%
WARD EIGHT MEMBER OF THE COUNCIL ,"",(Final)
DEM - MARION BARRY ,1214 ,96.50%
REP - CARDELL SHELTON ,33 ,2.62%
"Write In, if any ",11 ,0.87%
Total... ,"1,258 ",100.00%
UNITED STATES REPRESENTATIVE ,"",(Final)
DEM - RAY BROWNE ,1117 ,94.90%
SGN - ADAM EIDINGER ,56 ,4.76%
"Write In, if any ",4 ,0.34%
Total... ,"1,177 ",100.00%
Precinct 120,"",""
Registration & Turnout ,"","2,132"
Election Day Turnout ,980 ,45.97%
Absentee Turnout ,59 ,2.77%
Total... ,"1,039 ",48.73%
ELECTORS OF PRESIDENT / VICE PRESIDENT ,"",(Final)
DEM - KERRY/EDWARDS ,995 ,96.41%
SGN - COBB/LaMARCHE ,2 ,0.19%
LIB - BADNARIK/CAMPAGNA ,1 ,0.10%
SWP - HARRIS/TROWE ,0 ,0.00%
REP - BUSH/CHENEY ,31 ,3.00%
IND - NADER/CAMEJO ,1 ,0.10%
"Write In, if any ",2 ,0.19%
Total... ,"1,032 ",100.00%
DELEGATE TO THE U.S. HOUSE OF REPS ,"",(Final)
DEM - ELEANOR HOLMES NORTON ,974 ,97.60%
REP - MICHAEL ANDREW MONROE ,23 ,2.30%
"Write In, if any ",1 ,0.10%
Total... ,998 ,100.00%
AT-LARGE MEMBER OF THE COUNCIL ,"",(Final)
REP - CAROL SCHWARTZ ,311 ,22.49%
SGN - LAURENT ROSS ,83 ,6.00%
DEM - KWAME R. BROWN ,890 ,64.35%
IND - A.D. ''TONY'' DOMINGUEZ ,93 ,6.72%
"Write In, if any ",6 ,0.43%
Total... ,"1,383 ",100.00%
WARD EIGHT MEMBER OF THE COUNCIL ,"",(Final)
DEM - MARION BARRY ,971 ,95.48%
REP - CARDELL SHELTON ,39 ,3.83%
"Write In, if any ",7 ,0.69%
Total... ,"1,017 ",100.00%
UNITED STATES REPRESENTATIVE ,"",(Final)
DEM - RAY BROWNE ,895 ,95.11%
SGN - ADAM EIDINGER ,41 ,4.36%
"Write In, if any ",5 ,0.53%
Total... ,941 ,100.00%
Precinct 121,"",""
Registration & Turnout ,"","3,403"
Election Day Turnout ,1585 ,46.58%
Absentee Turnout ,112 ,3.29%
Total... ,"1,697 ",49.87%
ELECTORS OF PRESIDENT / VICE PRESIDENT ,"",(Final)
DEM - KERRY/EDWARDS ,1628 ,96.56%
SGN - COBB/LaMARCHE ,2 ,0.12%
LIB - BADNARIK/CAMPAGNA ,1 ,0.06%
SWP - HARRIS/TROWE ,0 ,0.00%
REP - BUSH/CHENEY ,49 ,2.91%
IND - NADER/CAMEJO ,5 ,0.30%
"Write In, if any ",1 ,0.06%
Total... ,"1,686 ",100.00%
DELEGATE TO THE U.S. HOUSE OF REPS ,"",(Final)
DEM - ELEANOR HOLMES NORTON ,1612 ,97.87%
REP - MICHAEL ANDREW MONROE ,32 ,1.94%
"Write In, if any ",3 ,0.18%
Total... ,"1,647 ",100.00%
AT-LARGE MEMBER OF THE COUNCIL ,"",(Final)
REP - CAROL SCHWARTZ ,365 ,19.37%
SGN - LAURENT ROSS ,70 ,3.72%
DEM - KWAME R. BROWN ,1381 ,73.30%
IND - A.D. ''TONY'' DOMINGUEZ ,65 ,3.45%
"Write In, if any ",3 ,0.16%
Total... ,"1,884 ",100.00%
WARD EIGHT MEMBER OF THE COUNCIL ,"",(Final)
DEM - MARION BARRY ,1588 ,95.43%
REP - CARDELL SHELTON ,57 ,3.43%
"Write In, if any ",19 ,1.14%
Total... ,"1,664 ",100.00%
UNITED STATES REPRESENTATIVE ,"",(Final)
DEM - RAY BROWNE ,1481 ,96.17%
SGN - ADAM EIDINGER ,53 ,3.44%
"Write In, if any ",6 ,0.39%
Total... ,"1,540 ",100.00%
Precinct 122,"",""
Registration & Turnout ,"","1,716"
Election Day Turnout ,889 ,51.81%
Absentee Turnout ,56 ,3.26%
Total... ,945 ,55.07%
ELECTORS OF PRESIDENT / VICE PRESIDENT ,"",(Final)
DEM - KERRY/EDWARDS ,902 ,96.47%
SGN - COBB/LaMARCHE ,3 ,0.32%
LIB - BADNARIK/CAMPAGNA ,0 ,0.00%
SWP - HARRIS/TROWE ,0 ,0.00%
REP - BUSH/CHENEY ,26 ,2.78%
IND - NADER/CAMEJO ,3 ,0.32%
"Write In, if any ",1 ,0.11%
Total... ,935 ,100.00%
DELEGATE TO THE U.S. HOUSE OF REPS ,"",(Final)
DEM - ELEANOR HOLMES NORTON ,892 ,97.81%
REP - MICHAEL ANDREW MONROE ,16 ,1.75%
"Write In, if any ",4 ,0.44%
Total... ,912 ,100.00%
AT-LARGE MEMBER OF THE COUNCIL ,"",(Final)
REP - CAROL SCHWARTZ ,262 ,22.68%
SGN - LAURENT ROSS ,47 ,4.07%
DEM - KWAME R. BROWN ,796 ,68.92%
IND - A.D. ''TONY'' DOMINGUEZ ,44 ,3.81%
"Write In, if any ",6 ,0.52%
Total... ,"1,155 ",100.00%
WARD EIGHT MEMBER OF THE COUNCIL ,"",(Final)
DEM - MARION BARRY ,859 ,93.98%
REP - CARDELL SHELTON ,46 ,5.03%
"Write In, if any ",9 ,0.98%
Total... ,914 ,100.00%
UNITED STATES REPRESENTATIVE ,"",(Final)
DEM - RAY BROWNE ,816 ,94.66%
SGN - ADAM EIDINGER ,38 ,4.41%
"Write In, if any ",8 ,0.93%
Total... ,862 ,100.00%
Precinct 123,"",""
Registration & Turnout ,"","2,663"
Election Day Turnout ,1122 ,42.13%
Absentee Turnout ,116 ,4.36%
Total... ,"1,238 ",46.49%
ELECTORS OF PRESIDENT / VICE PRESIDENT ,"",(Final)
DEM - KERRY/EDWARDS ,1128 ,91.93%
SGN - COBB/LaMARCHE ,2 ,0.16%
LIB - BADNARIK/CAMPAGNA ,0 ,0.00%
SWP - HARRIS/TROWE ,1 ,0.08%
REP - BUSH/CHENEY ,85 ,6.93%
IND - NADER/CAMEJO ,9 ,0.73%
"Write In, if any ",2 ,0.16%
Total... ,"1,227 ",100.00%
DELEGATE TO THE U.S. HOUSE OF REPS ,"",(Final)
DEM - ELEANOR HOLMES NORTON ,1141 ,95.48%
REP - MICHAEL ANDREW MONROE ,51 ,4.27%
"Write In, if any ",3 ,0.25%
Total... ,"1,195 ",100.00%
AT-LARGE MEMBER OF THE COUNCIL ,"",(Final)
REP - CAROL SCHWARTZ ,332 ,22.45%
SGN - LAURENT ROSS ,101 ,6.83%
DEM - KWAME R. BROWN ,980 ,66.26%
IND - A.D. ''TONY'' DOMINGUEZ ,60 ,4.06%
"Write In, if any ",6 ,0.41%
Total... ,"1,479 ",100.00%
WARD EIGHT MEMBER OF THE COUNCIL ,"",(Final)
DEM - MARION BARRY ,1117 ,92.77%
REP - CARDELL SHELTON ,73 ,6.06%
"Write In, if any ",14 ,1.16%
Total... ,"1,204 ",100.00%
UNITED STATES REPRESENTATIVE ,"",(Final)
DEM - RAY BROWNE ,1056 ,94.20%
SGN - ADAM EIDINGER ,61 ,5.44%
"Write In, if any ",4 ,0.36%
Total... ,"1,121 ",100.00%
Precinct 124,"",""
Registration & Turnout ,"","2,472"
Election Day Turnout ,1282 ,51.86%
Absentee Turnout ,95 ,3.84%
Total... ,"1,377 ",55.70%
ELECTORS OF PRESIDENT / VICE PRESIDENT ,"",(Final)
DEM - KERRY/EDWARDS ,1304 ,96.24%
SGN - COBB/LaMARCHE ,0 ,0.00%
LIB - BADNARIK/CAMPAGNA ,0 ,0.00%
SWP - HARRIS/TROWE ,1 ,0.07%
REP - BUSH/CHENEY ,45 ,3.32%
IND - NADER/CAMEJO ,5 ,0.37%
"Write In, if any ",0 ,0.00%
Total... ,"1,355 ",100.00%
DELEGATE TO THE U.S. HOUSE OF REPS ,"",(Final)
DEM - ELEANOR HOLMES NORTON ,1294 ,97.15%
REP - MICHAEL ANDREW MONROE ,36 ,2.70%
"Write In, if any ",2 ,0.15%
Total... ,"1,332 ",100.00%
AT-LARGE MEMBER OF THE COUNCIL ,"",(Final)
REP - CAROL SCHWARTZ ,369 ,22.91%
SGN - LAURENT ROSS ,74 ,4.59%
DEM - KWAME R. BROWN ,1120 ,69.52%
IND - A.D. ''TONY'' DOMINGUEZ ,46 ,2.86%
"Write In, if any ",2 ,0.12%
Total... ,"1,611 ",100.00%
WARD EIGHT MEMBER OF THE COUNCIL ,"",(Final)
DEM - MARION BARRY ,1232 ,92.84%
REP - CARDELL SHELTON ,80 ,6.03%
"Write In, if any ",15 ,1.13%
Total... ,"1,327 ",100.00%
UNITED STATES REPRESENTATIVE ,"",(Final)
DEM - RAY BROWNE ,1178 ,95.08%
SGN - ADAM EIDINGER ,59 ,4.76%
"Write In, if any ",2 ,0.16%
Total... ,"1,239 ",100.00%
Precinct 125,"",""
Registration & Turnout ,"","3,954"
Election Day Turnout ,2067 ,52.28%
Absentee Turnout ,153 ,3.87%
Total... ,"2,220 ",56.15%
ELECTORS OF PRESIDENT / VICE PRESIDENT ,"",(Final)
DEM - KERRY/EDWARDS ,2124 ,97.21%
SGN - COBB/LaMARCHE ,0 ,0.00%
LIB - BADNARIK/CAMPAGNA ,1 ,0.05%
SWP - HARRIS/TROWE ,3 ,0.14%
REP - BUSH/CHENEY ,54 ,2.47%
IND - NADER/CAMEJO ,3 ,0.14%
"Write In, if any ",0 ,0.00%
Total... ,"2,185 ",100.00%
DELEGATE TO THE U.S. HOUSE OF REPS ,"",(Final)
DEM - ELEANOR HOLMES NORTON ,2065 ,97.64%
REP - MICHAEL ANDREW MONROE ,48 ,2.27%
"Write In, if any ",2 ,0.09%
Total... ,"2,115 ",100.00%
AT-LARGE MEMBER OF THE COUNCIL ,"",(Final)
REP - CAROL SCHWARTZ ,420 ,16.64%
SGN - LAURENT ROSS ,155 ,6.14%
DEM - KWAME R. BROWN ,1864 ,73.85%
IND - A.D. ''TONY'' DOMINGUEZ ,74 ,2.93%
"Write In, if any ",11 ,0.44%
Total... ,"2,524 ",100.00%
WARD EIGHT MEMBER OF THE COUNCIL ,"",(Final)
DEM - MARION BARRY ,2042 ,95.64%
REP - CARDELL SHELTON ,79 ,3.70%
"Write In, if any ",14 ,0.66%
Total... ,"2,135 ",100.00%
UNITED STATES REPRESENTATIVE ,"",(Final)
DEM - RAY BROWNE ,1955 ,96.21%
SGN - ADAM EIDINGER ,76 ,3.74%
"Write In, if any ",1 ,0.05%
Total... ,"2,032 ",100.00%
Precinct 126,"",""
Registration & Turnout ,"","3,420"
Election Day Turnout ,1590 ,46.49%
Absentee Turnout ,129 ,3.77%
Total... ,"1,719 ",50.26%
ELECTORS OF PRESIDENT / VICE PRESIDENT ,"",(Final)
DEM - KERRY/EDWARDS ,1639 ,96.13%
SGN - COBB/LaMARCHE ,4 ,0.23%
LIB - BADNARIK/CAMPAGNA ,3 ,0.18%
SWP - HARRIS/TROWE ,0 ,0.00%
REP - BUSH/CHENEY ,55 ,3.23%
IND - NADER/CAMEJO ,2 ,0.12%
"Write In, if any ",2 ,0.12%
Total... ,"1,705 ",100.00%
DELEGATE TO THE U.S. HOUSE OF REPS ,"",(Final)
DEM - ELEANOR HOLMES NORTON ,1609 ,96.69%
REP - MICHAEL ANDREW MONROE ,54 ,3.25%
"Write In, if any ",1 ,0.06%
Total... ,"1,664 ",100.00%
AT-LARGE MEMBER OF THE COUNCIL ,"",(Final)
REP - CAROL SCHWARTZ ,407 ,20.29%
SGN - LAURENT ROSS ,144 ,7.18%
DEM - KWAME R. BROWN ,1389 ,69.24%
IND - A.D. ''TONY'' DOMINGUEZ ,64 ,3.19%
"Write In, if any ",2 ,0.10%
Total... ,"2,006 ",100.00%
WARD EIGHT MEMBER OF THE COUNCIL ,"",(Final)
DEM - MARION BARRY ,1577 ,94.77%
REP - CARDELL SHELTON ,78 ,4.69%
"Write In, if any ",9 ,0.54%
Total... ,"1,664 ",100.00%
UNITED STATES REPRESENTATIVE ,"",(Final)
DEM - RAY BROWNE ,1478 ,94.93%
SGN - ADAM EIDINGER ,74 ,4.75%
"Write In, if any ",5 ,0.32%
Total... ,"1,557 ",100.00%
Precinct 127,"",""
Registration & Turnout ,"","4,211"
Election Day Turnout ,2393 ,56.83%
Absentee Turnout ,243 ,5.77%
Total... ,"2,636 ",62.60%
ELECTORS OF PRESIDENT / VICE PRESIDENT ,"",(Final)
DEM - KERRY/EDWARDS ,2345 ,89.74%
SGN - COBB/LaMARCHE ,8 ,0.31%
LIB - BADNARIK/CAMPAGNA ,4 ,0.15%
SWP - HARRIS/TROWE ,1 ,0.04%
REP - BUSH/CHENEY ,231 ,8.84%
IND - NADER/CAMEJO ,20 ,0.77%
"Write In, if any ",4 ,0.15%
Total... ,"2,613 ",100.00%
DELEGATE TO THE U.S. HOUSE OF REPS ,"",(Final)
DEM - ELEANOR HOLMES NORTON ,2328 ,91.15%
REP - MICHAEL ANDREW MONROE ,216 ,8.46%
"Write In, if any ",10 ,0.39%
Total... ,"2,554 ",100.00%
AT-LARGE MEMBER OF THE COUNCIL ,"",(Final)
REP - CAROL SCHWARTZ ,1088 ,30.87%
SGN - LAURENT ROSS ,243 ,6.90%
DEM - KWAME R. BROWN ,1952 ,55.39%
IND - A.D. ''TONY'' DOMINGUEZ ,230 ,6.53%
"Write In, if any ",11 ,0.31%
Total... ,"3,524 ",100.00%
UNITED STATES REPRESENTATIVE ,"",(Final)
DEM - RAY BROWNE ,1996 ,87.51%
SGN - ADAM EIDINGER ,272 ,11.92%
"Write In, if any ",13 ,0.57%
Total... ,"2,281 ",100.00%
Precinct 128,"",""
Registration & Turnout ,"","2,065"
Election Day Turnout ,1055 ,51.09%
Absentee Turnout ,92 ,4.46%
Total... ,"1,147 ",55.54%
ELECTORS OF PRESIDENT / VICE PRESIDENT ,"",(Final)
DEM - KERRY/EDWARDS ,1021 ,89.64%
SGN - COBB/LaMARCHE ,5 ,0.44%
LIB - BADNARIK/CAMPAGNA ,4 ,0.35%
SWP - HARRIS/TROWE ,1 ,0.09%
REP - BUSH/CHENEY ,95 ,8.34%
IND - NADER/CAMEJO ,11 ,0.97%
"Write In, if any ",2 ,0.18%
Total... ,"1,139 ",100.00%
DELEGATE TO THE U.S. HOUSE OF REPS ,"",(Final)
DEM - ELEANOR HOLMES NORTON ,1015 ,91.28%
REP - MICHAEL ANDREW MONROE ,89 ,8.00%
"Write In, if any ",8 ,0.72%
Total... ,"1,112 ",100.00%
AT-LARGE MEMBER OF THE COUNCIL ,"",(Final)
REP - CAROL SCHWARTZ ,409 ,26.78%
SGN - LAURENT ROSS ,110 ,7.20%
DEM - KWAME R. BROWN ,868 ,56.84%
IND - A.D. ''TONY'' DOMINGUEZ ,132 ,8.64%
"Write In, if any ",8 ,0.52%
Total... ,"1,527 ",100.00%
UNITED STATES REPRESENTATIVE ,"",(Final)
DEM - RAY BROWNE ,849 ,85.24%
SGN - ADAM EIDINGER ,135 ,13.55%
"Write In, if any ",12 ,1.20%
Total... ,996 ,100.00%
Precinct 129,"",""
egistration & Turnout ,"","1,666"
Election Day Turnout ,662 ,39.74%
Absentee Turnout ,167 ,10.02%
Total... ,829 ,49.76%
LECTORS OF PRESIDENT / VICE PRESIDENT ,"",(Final)
DEM - KERRY/EDWARDS ,723 ,88.28%
SGN - COBB/LaMARCHE ,2 ,0.24%
LIB - BADNARIK/CAMPAGNA ,0 ,0.00%
SWP - HARRIS/TROWE ,1 ,0.12%
REP - BUSH/CHENEY ,84 ,10.26%
IND - NADER/CAMEJO ,6 ,0.73%
"Write In, if any ",3 ,0.37%
Total... ,819 ,100.00%
ELEGATE TO THE U.S. HOUSE OF REPS ,"",(Final)
DEM - ELEANOR HOLMES NORTON ,701 ,88.96%
REP - MICHAEL ANDREW MONROE ,84 ,10.66%
"Write In, if any ",3 ,0.38%
Total... ,788 ,100.00%
T-LARGE MEMBER OF THE COUNCIL ,"",(Final)
REP - CAROL SCHWARTZ ,278 ,26.43%
SGN - LAURENT ROSS ,101 ,9.60%
DEM - KWAME R. BROWN ,602 ,57.22%
IND - A.D. ''TONY'' DOMINGUEZ ,65 ,6.18%
"Write In, if any ",6 ,0.57%
Total... ,"1,052 ",100.00%
ARD TWO MEMBER OF THE COUNCIL ,"",(Final)
DEM - JACK EVANS ,650 ,84.31%
SGN - JAY HOUSTON MARX ,61 ,7.91%
"REP - JESSE JAMES PRICE, SR. ",56 ,7.26%
"Write In, if any ",4 ,0.52%
Total... ,771 ,100.00%
NITED STATES REPRESENTATIVE ,"",(Final)
DEM - RAY BROWNE ,605 ,85.82%
SGN - ADAM EIDINGER ,94 ,13.33%
"Write In, if any ",6 ,0.85%
Total... ,705 ,100.00%
ISTRICT I MEMBER OF THE BOARD OF EDU ,"",(Final)
JEFF SMITH ,169 ,26.45%
ELEANOR JOHNSON ,226 ,35.37%
CHRISTOPHER McKEON ,69 ,10.80%
KEENAN KELLER ,165 ,25.82%
"Write In, if any ",10 ,1.56%
Total... ,639 ,100.00%
Precinct 130,"",""
Registration & Turnout ,"","2,505"
Election Day Turnout ,1125 ,44.91%
Absentee Turnout ,231 ,9.22%
Total... ,"1,356 ",54.13%
ELECTORS OF PRESIDENT / VICE PRESIDENT ,"",(Final)
DEM - KERRY/EDWARDS ,978 ,72.61%
SGN - COBB/LaMARCHE ,4 ,0.30%
LIB - BADNARIK/CAMPAGNA ,5 ,0.37%
SWP - HARRIS/TROWE ,0 ,0.00%
REP - BUSH/CHENEY ,337 ,25.02%
IND - NADER/CAMEJO ,16 ,1.19%
"Write In, if any ",7 ,0.52%
Total... ,"1,347 ",100.00%
DELEGATE TO THE U.S. HOUSE OF REPS ,"",(Final)
DEM - ELEANOR HOLMES NORTON ,969 ,75.17%
REP - MICHAEL ANDREW MONROE ,307 ,23.82%
"Write In, if any ",13 ,1.01%
Total... ,"1,289 ",100.00%
AT-LARGE MEMBER OF THE COUNCIL ,"",(Final)
REP - CAROL SCHWARTZ ,726 ,38.89%
SGN - LAURENT ROSS ,177 ,9.48%
DEM - KWAME R. BROWN ,756 ,40.49%
IND - A.D. ''TONY'' DOMINGUEZ ,180 ,9.64%
"Write In, if any ",28 ,1.50%
Total... ,"1,867 ",100.00%
UNITED STATES REPRESENTATIVE ,"",(Final)
DEM - RAY BROWNE ,784 ,73.62%
SGN - ADAM EIDINGER ,240 ,22.54%
"Write In, if any ",41 ,3.85%
Total... ,"1,065 ",100.00%
Precinct 131,"",""
Registration & Turnout ,"",807
Election Day Turnout ,267 ,33.09%
Absentee Turnout ,23 ,2.85%
Total... ,290 ,35.94%
ELECTORS OF PRESIDENT / VICE PRESIDENT ,"",(Final)
DEM - KERRY/EDWARDS ,271 ,94.76%
SGN - COBB/LaMARCHE ,1 ,0.35%
LIB - BADNARIK/CAMPAGNA ,1 ,0.35%
SWP - HARRIS/TROWE ,0 ,0.00%
REP - BUSH/CHENEY ,12 ,4.20%
IND - NADER/CAMEJO ,0 ,0.00%
"Write In, if any ",1 ,0.35%
Total... ,286 ,100.00%
DELEGATE TO THE U.S. HOUSE OF REPS ,"",(Final)
DEM - ELEANOR HOLMES NORTON ,264 ,96.00%
REP - MICHAEL ANDREW MONROE ,11 ,4.00%
"Write In, if any ",0 ,0.00%
Total... ,275 ,100.00%
AT-LARGE MEMBER OF THE COUNCIL ,"",(Final)
REP - CAROL SCHWARTZ ,83 ,23.92%
SGN - LAURENT ROSS ,27 ,7.78%
DEM - KWAME R. BROWN ,221 ,63.69%
